segment_id,pump_id,day_id,source_file,n_rows,start_time,end_time,duration_s,duration_min,usable_for_windowing,gap_to_prev_s,post_dropout,warmup_rows
A_Day1_seg1,A,Day1,Pump_A_Day1.csv,83,2024-04-10 12:00:00,2024-04-10 12:06:50,410.0,6.83,True,0.0,False,300
A_Day1_seg2,A,Day1,Pump_A_Day1.csv,23,2024-04-10 12:07:00,2024-04-10 12:08:50,110.0,1.83,False,10.0,False,300
A_Day1_seg3,A,Day1,Pump_A_Day1.csv,3,2024-04-10 12:09:00,2024-04-10 12:09:10,10.0,0.17,False,10.0,False,300
A_Day1_seg4,A,Day1,Pump_A_Day1.csv,23,2024-04-10 12:10:25,2024-04-10 12:12:15,110.0,1.83,False,75.0,False,300
A_Day1_seg5,A,Day1,Pump_A_Day1.csv,11,2024-04-10 12:12:25,2024-04-10 12:13:15,50.0,0.83,False,10.0,False,300
A_Day1_seg6,A,Day1,Pump_A_Day1.csv,8,2024-04-10 12:14:45,2024-04-10 12:15:20,35.0,0.58,False,90.0,False,300
A_Day1_seg7,A,Day1,Pump_A_Day1.csv,19,2024-04-10 12:15:30,2024-04-10 12:17:00,90.0,1.5,False,10.0,False,300
A_Day1_seg8,A,Day1,Pump_A_Day1.csv,21,2024-04-10 12:17:10,2024-04-10 12:18:50,100.0,1.67,False,10.0,False,300
A_Day1_seg9,A,Day1,Pump_A_Day1.csv,6,2024-04-10 12:19:00,2024-04-10 12:19:25,25.0,0.42,False,10.0,False,300
A_Day1_seg10,A,Day1,Pump_A_Day1.csv,3000,2024-04-10 12:20:40,2024-04-10 13:31:16,4236.0,70.6,True,75.0,False,300
A_Day1_seg11,A,Day1,Pump_A_Day1.csv,1662,2024-04-10 13:32:18,2024-04-10 13:59:59,1661.0,27.68,True,62.0,False,300
A_Day2_seg1,A,Day2,Pump_A_Day2.csv,671,2024-06-11 10:00:00,2024-06-11 10:11:10,670.0,11.17,True,0.0,False,300
A_Day2_seg2,A,Day2,Pump_A_Day2.csv,293,2024-06-11 10:21:56,2024-06-11 10:26:49,293.0,4.88,True,646.0,True,600
A_Day2_seg3,A,Day2,Pump_A_Day2.csv,13328,2024-06-11 10:26:53,2024-06-11 14:09:00,13327.0,222.12,True,4.0,False,300
A_Day2_seg4,A,Day2,Pump_A_Day2.csv,2,2024-06-11 14:09:06,2024-06-11 14:09:07,1.0,0.02,False,6.0,False,300
A_Day2_seg5,A,Day2,Pump_A_Day2.csv,37,2024-06-11 14:09:12,2024-06-11 14:09:48,36.0,0.6,False,5.0,False,300
A_Day2_seg6,A,Day2,Pump_A_Day2.csv,5,2024-06-11 14:10:04,2024-06-11 14:10:08,4.0,0.07,False,16.0,False,300
A_Day2_seg7,A,Day2,Pump_A_Day2.csv,4828,2024-06-11 14:10:25,2024-06-11 15:30:52,4827.0,80.45,True,17.0,False,300
A_Day3_seg1,A,Day3,Pump_A_Day3.csv,2040,2024-10-30 10:30:00,2024-10-30 11:03:59,2039.0,33.98,True,0.0,False,300
A_Day3_seg2,A,Day3,Pump_A_Day3.csv,5,2024-10-30 11:04:02,2024-10-30 11:04:06,4.0,0.07,False,3.0,False,300
A_Day3_seg3,A,Day3,Pump_A_Day3.csv,19547,2024-10-30 11:04:13,2024-10-30 16:29:59,19546.0,325.77,True,7.0,False,300
B_Day1_seg1,B,Day1,Pump_B_Day1.csv,113,2024-04-10 12:00:00,2024-04-10 12:09:20,560.0,9.33,True,0.0,False,300
B_Day1_seg2,B,Day1,Pump_B_Day1.csv,2,2024-04-10 12:09:35,2024-04-10 12:09:40,5.0,0.08,False,15.0,False,300
B_Day1_seg3,B,Day1,Pump_B_Day1.csv,6,2024-04-10 12:11:55,2024-04-10 12:12:20,25.0,0.42,False,135.0,False,300
B_Day1_seg4,B,Day1,Pump_B_Day1.csv,2,2024-04-10 12:13:00,2024-04-10 12:13:05,5.0,0.08,False,40.0,False,300
B_Day1_seg5,B,Day1,Pump_B_Day1.csv,9,2024-04-10 12:14:45,2024-04-10 12:15:25,40.0,0.67,False,100.0,False,300
B_Day1_seg6,B,Day1,Pump_B_Day1.csv,2,2024-04-10 12:15:35,2024-04-10 12:15:40,5.0,0.08,False,10.0,False,300
B_Day1_seg7,B,Day1,Pump_B_Day1.csv,5,2024-04-10 12:15:50,2024-04-10 12:16:10,20.0,0.33,False,10.0,False,300
B_Day1_seg8,B,Day1,Pump_B_Day1.csv,29,2024-04-10 12:16:25,2024-04-10 12:18:45,140.0,2.33,False,15.0,False,300
B_Day1_seg9,B,Day1,Pump_B_Day1.csv,32,2024-04-10 12:18:55,2024-04-10 12:21:30,155.0,2.58,False,10.0,False,300
B_Day1_seg10,B,Day1,Pump_B_Day1.csv,5,2024-04-10 12:22:00,2024-04-10 12:22:20,20.0,0.33,False,30.0,False,300
B_Day1_seg11,B,Day1,Pump_B_Day1.csv,3,2024-04-10 12:22:40,2024-04-10 12:22:50,10.0,0.17,False,20.0,False,300
B_Day1_seg12,B,Day1,Pump_B_Day1.csv,14,2024-04-10 12:25:05,2024-04-10 12:26:10,65.0,1.08,False,135.0,False,300
B_Day1_seg13,B,Day1,Pump_B_Day1.csv,2,2024-04-10 12:26:40,2024-04-10 12:26:45,5.0,0.08,False,30.0,False,300
B_Day1_seg14,B,Day1,Pump_B_Day1.csv,17,2024-04-10 12:29:35,2024-04-10 12:30:55,80.0,1.33,False,170.0,False,300
B_Day1_seg15,B,Day1,Pump_B_Day1.csv,98,2024-04-10 12:33:35,2024-04-10 12:41:40,485.0,8.08,True,160.0,False,300
B_Day1_seg16,B,Day1,Pump_B_Day1.csv,3,2024-04-10 12:41:50,2024-04-10 12:42:00,10.0,0.17,False,10.0,False,300
B_Day1_seg17,B,Day1,Pump_B_Day1.csv,2814,2024-04-10 12:42:15,2024-04-10 13:32:20,3005.0,50.08,True,15.0,False,300
B_Day1_seg18,B,Day1,Pump_B_Day1.csv,17,2024-04-10 13:32:31,2024-04-10 13:32:49,18.0,0.3,False,11.0,False,300
B_Day1_seg19,B,Day1,Pump_B_Day1.csv,1463,2024-04-10 13:35:37,2024-04-10 13:59:59,1462.0,24.37,True,168.0,False,300
B_Day2_seg1,B,Day2,Pump_B_Day2.csv,7925,2024-06-11 06:00:00,2024-06-11 08:12:04,7924.0,132.07,True,0.0,False,300
B_Day2_seg2,B,Day2,Pump_B_Day2.csv,23,2024-06-11 08:12:07,2024-06-11 08:12:30,23.0,0.38,False,3.0,False,300
B_Day2_seg3,B,Day2,Pump_B_Day2.csv,11,2024-06-11 08:12:34,2024-06-11 08:12:44,10.0,0.17,False,4.0,False,300
B_Day2_seg4,B,Day2,Pump_B_Day2.csv,39,2024-06-11 08:13:49,2024-06-11 08:14:27,38.0,0.63,False,65.0,False,300
B_Day2_seg5,B,Day2,Pump_B_Day2.csv,81,2024-06-11 08:18:23,2024-06-11 08:19:43,80.0,1.33,True,236.0,False,300
B_Day2_seg6,B,Day2,Pump_B_Day2.csv,9,2024-06-11 08:19:59,2024-06-11 08:20:07,8.0,0.13,False,16.0,False,300
B_Day2_seg7,B,Day2,Pump_B_Day2.csv,16,2024-06-11 08:22:00,2024-06-11 08:22:15,15.0,0.25,False,113.0,False,300
B_Day2_seg8,B,Day2,Pump_B_Day2.csv,43,2024-06-11 08:22:23,2024-06-11 08:23:05,42.0,0.7,False,8.0,False,300
B_Day2_seg9,B,Day2,Pump_B_Day2.csv,9,2024-06-11 08:23:21,2024-06-11 08:23:29,8.0,0.13,False,16.0,False,300
B_Day2_seg10,B,Day2,Pump_B_Day2.csv,5594,2024-06-11 08:37:57,2024-06-11 10:11:10,5593.0,93.22,True,868.0,True,600
B_Day2_seg11,B,Day2,Pump_B_Day2.csv,13650,2024-06-11 10:21:46,2024-06-11 14:09:15,13649.0,227.48,True,636.0,True,600
B_Day2_seg12,B,Day2,Pump_B_Day2.csv,7,2024-06-11 14:09:21,2024-06-11 14:09:27,6.0,0.1,False,6.0,False,300
B_Day2_seg13,B,Day2,Pump_B_Day2.csv,6549,2024-06-11 14:10:51,2024-06-11 15:59:59,6548.0,109.13,True,84.0,False,300
B_Day3_seg1,B,Day3,Pump_B_Day3.csv,1658,2024-10-30 08:15:00,2024-10-30 08:42:37,1657.0,27.62,True,0.0,False,300
B_Day3_seg2,B,Day3,Pump_B_Day3.csv,12,2024-10-30 08:42:41,2024-10-30 08:42:52,11.0,0.18,False,4.0,False,300
