seq_id,label,label_name,group,steps,severity,cluster_id,source,m6b_step,generated,seed_idx,fail_type,fail_channel,fault_name,primary_label,secondary_label,primary_onset_step,secondary_onset_step,lag_steps,cluster_name,arch_version,base_label,base_fault,masked_channel,mask_type,mask_onset_step,variant,fault_channels,fault_ch_names,subtype,onset_step,multi_sensor_anomaly_count
0,1,bearing_wear,A,250,0.8191648125648499,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
1,1,bearing_wear,A,250,0.5511027574539185,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
2,1,bearing_wear,A,250,0.8868783116340637,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
3,1,bearing_wear,A,250,0.7578943967819214,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
4,1,bearing_wear,A,250,0.27534186840057373,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
5,1,bearing_wear,A,250,0.9804978966712952,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
6,1,bearing_wear,A,250,0.8089117407798767,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
7,1,bearing_wear,A,250,0.8288514614105225,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
8,1,bearing_wear,A,250,0.3024909198284149,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
9,1,bearing_wear,A,250,0.5603087544441223,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
10,1,bearing_wear,A,250,0.4966384172439575,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
11,1,bearing_wear,A,250,0.9414119720458984,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
12,1,bearing_wear,A,250,0.715092122554779,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
13,1,bearing_wear,A,250,0.8582093119621277,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
14,1,bearing_wear,A,250,0.5547313690185547,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
15,1,bearing_wear,A,250,0.38179096579551697,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
16,1,bearing_wear,A,250,0.6436678171157837,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
17,1,bearing_wear,A,250,0.2510538101196289,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
18,1,bearing_wear,A,250,0.8621049523353577,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
19,1,bearing_wear,A,250,0.7053315043449402,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
20,1,bearing_wear,A,250,0.8064702153205872,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
21,1,bearing_wear,A,250,0.4836207628250122,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
22,1,bearing_wear,A,250,0.9765584468841553,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
23,1,bearing_wear,A,250,0.914496898651123,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
24,1,bearing_wear,A,250,0.8227068185806274,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
25,1,bearing_wear,A,250,0.3557109534740448,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
26,1,bearing_wear,A,250,0.5733767747879028,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
27,1,bearing_wear,A,250,0.2350430190563202,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
28,1,bearing_wear,A,250,0.3234315812587738,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
29,1,bearing_wear,A,250,0.7464391589164734,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
30,1,bearing_wear,A,250,0.7958097457885742,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
31,1,bearing_wear,A,250,0.974007785320282,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
32,1,bearing_wear,A,250,0.46066027879714966,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
33,1,bearing_wear,A,250,0.49636775255203247,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
34,1,bearing_wear,A,250,0.5756446719169617,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
35,1,bearing_wear,A,250,0.3515770733356476,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
36,1,bearing_wear,A,250,0.3039371967315674,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
37,1,bearing_wear,A,250,0.5805639624595642,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
38,1,bearing_wear,A,250,0.38152748346328735,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
39,1,bearing_wear,A,250,0.7358511686325073,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
40,1,bearing_wear,A,250,0.5497215390205383,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
41,1,bearing_wear,A,250,0.8661425709724426,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
42,1,bearing_wear,A,250,0.7602120637893677,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
43,1,bearing_wear,A,250,0.4498933255672455,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
44,1,bearing_wear,A,250,0.865807831287384,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
45,1,bearing_wear,A,250,0.8438115119934082,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
46,1,bearing_wear,A,250,0.509982705116272,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
47,1,bearing_wear,A,250,0.43066248297691345,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
48,1,bearing_wear,A,250,0.7459964156150818,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
49,1,bearing_wear,A,250,0.3118019998073578,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
50,1,bearing_wear,A,250,0.3599265515804291,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
51,1,bearing_wear,A,250,0.20588982105255127,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
52,1,bearing_wear,A,250,0.8295394778251648,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
53,1,bearing_wear,A,250,0.7318806648254395,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
54,1,bearing_wear,A,250,0.7641323208808899,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
55,1,bearing_wear,A,250,0.8245832324028015,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
56,1,bearing_wear,A,250,0.5671325922012329,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
57,1,bearing_wear,A,250,0.654992938041687,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
58,1,bearing_wear,A,250,0.3118375837802887,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
59,1,bearing_wear,A,250,0.2916240692138672,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
60,1,bearing_wear,A,250,0.734722375869751,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
61,1,bearing_wear,A,250,0.5768769383430481,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
62,1,bearing_wear,A,250,0.6521888971328735,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
63,1,bearing_wear,A,250,0.8119990825653076,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
64,1,bearing_wear,A,250,0.7077746391296387,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
