seq_id,label,label_name,group,steps,severity,cluster_id,source,seed_idx,m6b_step,generated,fail_type,fail_channel
M6B_L0_00000,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00001,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00002,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00003,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00004,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00005,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00006,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00007,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00008,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00009,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00010,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00011,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00012,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00013,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00014,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00015,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00016,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00017,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00018,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00019,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00020,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00021,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00022,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00023,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00024,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00025,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00026,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00027,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00028,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00029,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00030,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00031,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00032,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00033,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00034,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00035,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00036,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00037,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00038,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00039,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00040,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00041,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00042,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00043,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00044,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00045,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00046,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00047,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00048,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00049,0,normal,A,200,0.0,2,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00050,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00051,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00052,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00053,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00054,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00055,0,normal,A,200,0.0,3,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00056,0,normal,A,200,0.0,0,real_cira,-1,0b_v2,2026-04-26,,
M6B_L0_00057,0,normal,A,200,0.0,1,real_cira,-1,0b_v2,2026-04-26,,
