seq_id,label,label_name,group,steps,severity,cluster_id,source,m6b_step,generated
M6B_L1_00000,1,bearing_wear,A,250,0.8191648125648499,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00001,1,bearing_wear,A,250,0.5511027574539185,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00002,1,bearing_wear,A,250,0.8868783116340637,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00003,1,bearing_wear,A,250,0.7578943967819214,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00004,1,bearing_wear,A,250,0.27534186840057373,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00005,1,bearing_wear,A,250,0.9804978966712952,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00006,1,bearing_wear,A,250,0.8089117407798767,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00007,1,bearing_wear,A,250,0.8288514614105225,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00008,1,bearing_wear,A,250,0.3024909198284149,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00009,1,bearing_wear,A,250,0.5603087544441223,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00010,1,bearing_wear,A,250,0.4966384172439575,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00011,1,bearing_wear,A,250,0.9414119720458984,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00012,1,bearing_wear,A,250,0.715092122554779,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00013,1,bearing_wear,A,250,0.8582093119621277,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00014,1,bearing_wear,A,250,0.5547313690185547,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00015,1,bearing_wear,A,250,0.38179096579551697,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00016,1,bearing_wear,A,250,0.6436678171157837,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00017,1,bearing_wear,A,250,0.2510538101196289,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00018,1,bearing_wear,A,250,0.8621049523353577,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00019,1,bearing_wear,A,250,0.7053315043449402,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00020,1,bearing_wear,A,250,0.8064702153205872,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00021,1,bearing_wear,A,250,0.4836207628250122,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00022,1,bearing_wear,A,250,0.9765584468841553,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00023,1,bearing_wear,A,250,0.914496898651123,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00024,1,bearing_wear,A,250,0.8227068185806274,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00025,1,bearing_wear,A,250,0.3557109534740448,2,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00026,1,bearing_wear,A,250,0.5733767747879028,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00027,1,bearing_wear,A,250,0.2350430190563202,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00028,1,bearing_wear,A,250,0.3234315812587738,1,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00029,1,bearing_wear,A,250,0.7464391589164734,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00030,1,bearing_wear,A,250,0.7958097457885742,3,m6b_physics_lib_v2,0_v2,2026-04-26
M6B_L1_00031,1,bearing_wear,A,250,0.974007785320282,1,m6b_physics_lib_v2,0_v2,2026-04-26
