seq_id,label,fault_type,severity,fault_stage,source,cluster_id,seed_idx,fail_type,fail_channel
0,0,normal,0.0,normal,real_cira,0,-1,,
1,0,normal,0.0,normal,real_cira,2,-1,,
2,0,normal,0.0,normal,real_cira,0,-1,,
3,0,normal,0.0,normal,real_cira,0,-1,,
4,0,normal,0.0,normal,real_cira,1,-1,,
5,0,normal,0.0,normal,real_cira,3,-1,,
6,0,normal,0.0,normal,real_cira,3,-1,,
7,0,normal,0.0,normal,real_cira,0,-1,,
8,0,normal,0.0,normal,real_cira,2,-1,,
9,0,normal,0.0,normal,real_cira,2,-1,,
10,0,normal,0.0,normal,real_cira,0,-1,,
11,0,normal,0.0,normal,real_cira,0,-1,,
12,0,normal,0.0,normal,real_cira,3,-1,,
13,0,normal,0.0,normal,real_cira,0,-1,,
14,0,normal,0.0,normal,real_cira,3,-1,,
15,0,normal,0.0,normal,real_cira,0,-1,,
16,0,normal,0.0,normal,real_cira,0,-1,,
17,0,normal,0.0,normal,real_cira,3,-1,,
18,0,normal,0.0,normal,real_cira,0,-1,,
19,0,normal,0.0,normal,real_cira,3,-1,,
20,0,normal,0.0,normal,real_cira,2,-1,,
21,0,normal,0.0,normal,real_cira,0,-1,,
22,0,normal,0.0,normal,real_cira,2,-1,,
23,0,normal,0.0,normal,real_cira,0,-1,,
24,0,normal,0.0,normal,real_cira,0,-1,,
25,0,normal,0.0,normal,real_cira,2,-1,,
26,0,normal,0.0,normal,real_cira,0,-1,,
27,0,normal,0.0,normal,real_cira,0,-1,,
28,0,normal,0.0,normal,real_cira,0,-1,,
29,0,normal,0.0,normal,real_cira,2,-1,,
30,0,normal,0.0,normal,real_cira,0,-1,,
31,0,normal,0.0,normal,real_cira,0,-1,,
32,0,normal,0.0,normal,real_cira,0,-1,,
33,0,normal,0.0,normal,real_cira,2,-1,,
34,0,normal,0.0,normal,real_cira,3,-1,,
35,0,normal,0.0,normal,real_cira,3,-1,,
36,0,normal,0.0,normal,real_cira,0,-1,,
37,0,normal,0.0,normal,real_cira,0,-1,,
38,0,normal,0.0,normal,real_cira,0,-1,,
39,0,normal,0.0,normal,real_cira,0,-1,,
40,0,normal,0.0,normal,real_cira,1,-1,,
41,0,normal,0.0,normal,real_cira,0,-1,,
42,0,normal,0.0,normal,real_cira,1,-1,,
43,0,normal,0.0,normal,real_cira,1,-1,,
44,0,normal,0.0,normal,real_cira,0,-1,,
45,0,normal,0.0,normal,real_cira,0,-1,,
46,0,normal,0.0,normal,real_cira,0,-1,,
47,0,normal,0.0,normal,real_cira,3,-1,,
48,0,normal,0.0,normal,real_cira,0,-1,,
49,0,normal,0.0,normal,real_cira,2,-1,,
50,0,normal,0.0,normal,real_cira,3,-1,,
51,0,normal,0.0,normal,real_cira,1,-1,,
52,0,normal,0.0,normal,real_cira,0,-1,,
53,0,normal,0.0,normal,real_cira,0,-1,,
54,0,normal,0.0,normal,real_cira,0,-1,,
55,0,normal,0.0,normal,real_cira,0,-1,,
56,0,normal,0.0,normal,real_cira,0,-1,,
57,0,normal,0.0,normal,real_cira,2,-1,,
58,0,normal,0.0,normal,real_cira,3,-1,,
59,0,normal,0.0,normal,real_cira,2,-1,,
60,0,normal,0.0,normal,real_cira,0,-1,,
61,0,normal,0.0,normal,real_cira,2,-1,,
62,0,normal,0.0,normal,real_cira,3,-1,,
63,0,normal,0.0,normal,real_cira,0,-1,,
64,0,normal,0.0,normal,real_cira,0,-1,,
65,0,normal,0.0,normal,real_cira,3,-1,,
66,0,normal,0.0,normal,real_cira,0,-1,,
67,0,normal,0.0,normal,real_cira,0,-1,,
68,0,normal,0.0,normal,real_cira,0,-1,,
