seq_id,label,fault_type,severity,fault_stage,source,cluster,seed_idx
0,0,normal,0.0,normal,real_cira,cooldown,-1
1,0,normal,0.0,normal,real_cira,startup,-1
2,0,normal,0.0,normal,real_cira,cooldown,-1
3,0,normal,0.0,normal,real_cira,cooldown,-1
4,0,normal,0.0,normal,real_cira,high_load,-1
5,0,normal,0.0,normal,real_cira,cooldown,-1
6,0,normal,0.0,normal,real_cira,cooldown,-1
7,0,normal,0.0,normal,real_cira,startup,-1
8,0,normal,0.0,normal,real_cira,cooldown,-1
9,0,normal,0.0,normal,real_cira,high_load,-1
10,0,normal,0.0,normal,real_cira,cooldown,-1
11,0,normal,0.0,normal,real_cira,steady_state,-1
12,0,normal,0.0,normal,real_cira,cooldown,-1
13,0,normal,0.0,normal,real_cira,steady_state,-1
14,0,normal,0.0,normal,real_cira,startup,-1
15,0,normal,0.0,normal,real_cira,startup,-1
16,0,normal,0.0,normal,real_cira,cooldown,-1
17,0,normal,0.0,normal,real_cira,cooldown,-1
18,0,normal,0.0,normal,real_cira,cooldown,-1
19,0,normal,0.0,normal,real_cira,cooldown,-1
20,0,normal,0.0,normal,real_cira,cooldown,-1
21,0,normal,0.0,normal,real_cira,high_load,-1
22,0,normal,0.0,normal,real_cira,cooldown,-1
23,0,normal,0.0,normal,real_cira,steady_state,-1
24,0,normal,0.0,normal,real_cira,cooldown,-1
25,0,normal,0.0,normal,real_cira,cooldown,-1
26,0,normal,0.0,normal,real_cira,cooldown,-1
27,0,normal,0.0,normal,real_cira,cooldown,-1
28,0,normal,0.0,normal,real_cira,cooldown,-1
29,0,normal,0.0,normal,real_cira,cooldown,-1
30,0,normal,0.0,normal,real_cira,high_load,-1
31,0,normal,0.0,normal,real_cira,cooldown,-1
32,0,normal,0.0,normal,real_cira,startup,-1
33,0,normal,0.0,normal,real_cira,high_load,-1
34,0,normal,0.0,normal,real_cira,cooldown,-1
35,0,normal,0.0,normal,real_cira,startup,-1
36,0,normal,0.0,normal,real_cira,cooldown,-1
37,0,normal,0.0,normal,real_cira,startup,-1
38,0,normal,0.0,normal,real_cira,cooldown,-1
39,0,normal,0.0,normal,real_cira,steady_state,-1
40,0,normal,0.0,normal,real_cira,cooldown,-1
41,0,normal,0.0,normal,real_cira,startup,-1
42,0,normal,0.0,normal,real_cira,cooldown,-1
43,0,normal,0.0,normal,real_cira,high_load,-1
44,0,normal,0.0,normal,real_cira,high_load,-1
45,0,normal,0.0,normal,real_cira,steady_state,-1
46,0,normal,0.0,normal,real_cira,cooldown,-1
47,0,normal,0.0,normal,real_cira,cooldown,-1
48,0,normal,0.0,normal,real_cira,startup,-1
49,0,normal,0.0,normal,real_cira,cooldown,-1
50,0,normal,0.0,normal,real_cira,cooldown,-1
51,0,normal,0.0,normal,real_cira,cooldown,-1
52,0,normal,0.0,normal,real_cira,startup,-1
53,0,normal,0.0,normal,real_cira,steady_state,-1
54,0,normal,0.0,normal,real_cira,cooldown,-1
55,0,normal,0.0,normal,real_cira,cooldown,-1
56,0,normal,0.0,normal,real_cira,high_load,-1
